culti	gr.culti	muni	mes	anho	precio
Ahuyama	HORTALIZAS	BARRANQUILLA	Abril	2015	482
Arveja verde en vaina	HORTALIZAS	BARRANQUILLA	Abril	2015	4750
Cebolla cabezona blanca	HORTALIZAS	BARRANQUILLA	Abril	2015	1130
Cebolla junca	HORTALIZAS	BARRANQUILLA	Abril	2015	NA
Chocolo mazorca	HORTALIZAS	BARRANQUILLA	Abril	2015	739
Habichuela	HORTALIZAS	BARRANQUILLA	Abril	2015	1280
Pepino cohombro	HORTALIZAS	BARRANQUILLA	Abril	2015	906
Pimenton	HORTALIZAS	BARRANQUILLA	Abril	2015	1250
Remolacha	HORTALIZAS	BARRANQUILLA	Abril	2015	874
Tomate	HORTALIZAS	BARRANQUILLA	Abril	2015	1315
Zanahoria	HORTALIZAS	BARRANQUILLA	Abril	2015	791
Aguacate	FRUTALES	BARRANQUILLA	Abril	2015	5027
Banano	FRUTALES	BARRANQUILLA	Abril	2015	535
Coco	FRUTALES	BARRANQUILLA	Abril	2015	1750
Granadilla	FRUTALES	BARRANQUILLA	Abril	2015	4425
Guayaba pera	FRUTALES	BARRANQUILLA	Abril	2015	1750
Limon tahiti	FRUTALES	BARRANQUILLA	Abril	2015	1914
Lulo	FRUTALES	BARRANQUILLA	Abril	2015	2850
Mandarina	FRUTALES	BARRANQUILLA	Abril	2015	1596
Mango Tommy	FRUTALES	BARRANQUILLA	Abril	2015	1700
Manzana royal gala	FRUTALES	BARRANQUILLA	Abril	2015	4001
Maracuya	FRUTALES	BARRANQUILLA	Abril	2015	1827
Mora de Castilla	FRUTALES	BARRANQUILLA	Abril	2015	4240
Naranja Valencia	FRUTALES	BARRANQUILLA	Abril	2015	1043
Papaya maradol	FRUTALES	BARRANQUILLA	Abril	2015	1645
Pinha	FRUTALES	BARRANQUILLA	Abril	2015	1010
Tomate	HORTALIZAS	BARRANQUILLA	Abril	2015	2100
Arracacha	TUBERCULOS	BARRANQUILLA	Abril	2015	NA
Papa negra	TUBERCULOS	BARRANQUILLA	Abril	2015	1100
Papa criolla	TUBERCULOS	BARRANQUILLA	Abril	2015	1645
Platano guineo	TUBERCULOS	BARRANQUILLA	Abril	2015	NA
Platano harton verde	TUBERCULOS	BARRANQUILLA	Abril	2015	1106
Yuca	TUBERCULOS	BARRANQUILLA	Abril	2015	1021
Arroz de primera	GRANOS	BARRANQUILLA	Abril	2015	3032
Arveja verde seca importada	GRANOS	BARRANQUILLA	Abril	2015	1973
Frijol seco	GRANOS	BARRANQUILLA	Abril	2015	4975
Garbanzo importado	GRANOS	BARRANQUILLA	Abril	2015	NA
Lenteja importada	GRANOS	BARRANQUILLA	Abril	2015	2775
Maiz amarillo	GRANOS	BARRANQUILLA	Abril	2015	1397
Ahuyama	HORTALIZAS	BOGOTA	Abril	2015	856
Arveja verde en vaina	HORTALIZAS	BOGOTA	Abril	2015	4009
Cebolla cabezona blanca	HORTALIZAS	BOGOTA	Abril	2015	949
Cebolla junca	HORTALIZAS	BOGOTA	Abril	2015	1057
Chocolo mazorca	HORTALIZAS	BOGOTA	Abril	2015	1517
Habichuela	HORTALIZAS	BOGOTA	Abril	2015	1714
Pepino cohombro	HORTALIZAS	BOGOTA	Abril	2015	1368
Pimenton	HORTALIZAS	BOGOTA	Abril	2015	3064
Remolacha	HORTALIZAS	BOGOTA	Abril	2015	653
Tomate	HORTALIZAS	BOGOTA	Abril	2015	1358
Zanahoria	HORTALIZAS	BOGOTA	Abril	2015	885
Aguacate	FRUTALES	BOGOTA	Abril	2015	4486
Banano	FRUTALES	BOGOTA	Abril	2015	1224
Coco	FRUTALES	BOGOTA	Abril	2015	3000
Granadilla	FRUTALES	BOGOTA	Abril	2015	2210
Guayaba pera	FRUTALES	BOGOTA	Abril	2015	1701
Limon tahiti	FRUTALES	BOGOTA	Abril	2015	1848
Lulo	FRUTALES	BOGOTA	Abril	2015	1987
Mandarina	FRUTALES	BOGOTA	Abril	2015	2910
Mango Tommy	FRUTALES	BOGOTA	Abril	2015	2787
Manzana royal gala	FRUTALES	BOGOTA	Abril	2015	3626
Maracuya	FRUTALES	BOGOTA	Abril	2015	1529
Mora de Castilla	FRUTALES	BOGOTA	Abril	2015	3367
Naranja Valencia	FRUTALES	BOGOTA	Abril	2015	1180
Papaya maradol	FRUTALES	BOGOTA	Abril	2015	932
Pinha	FRUTALES	BOGOTA	Abril	2015	682
Tomate	HORTALIZAS	BOGOTA	Abril	2015	2178
Arracacha	TUBERCULOS	BOGOTA	Abril	2015	855
Papa negra	TUBERCULOS	BOGOTA	Abril	2015	1528
Papa criolla	TUBERCULOS	BOGOTA	Abril	2015	2153
Platano guineo	TUBERCULOS	BOGOTA	Abril	2015	1128
Platano harton verde	TUBERCULOS	BOGOTA	Abril	2015	1446
Yuca	TUBERCULOS	BOGOTA	Abril	2015	1657
Arroz de primera	GRANOS	BOGOTA	Abril	2015	3036
Arveja verde seca importada	GRANOS	BOGOTA	Abril	2015	1862
Frijol seco	GRANOS	BOGOTA	Abril	2015	6810
Garbanzo importado	GRANOS	BOGOTA	Abril	2015	3387
Lenteja importada	GRANOS	BOGOTA	Abril	2015	2739
Maiz amarillo	GRANOS	BOGOTA	Abril	2015	879
Ahuyama	HORTALIZAS	BUCARAMANGA	Abril	2015	522
Arveja verde en vaina	HORTALIZAS	BUCARAMANGA	Abril	2015	3289
Cebolla cabezona blanca	HORTALIZAS	BUCARAMANGA	Abril	2015	967
Cebolla junca	HORTALIZAS	BUCARAMANGA	Abril	2015	833
Chocolo mazorca	HORTALIZAS	BUCARAMANGA	Abril	2015	983
Habichuela	HORTALIZAS	BUCARAMANGA	Abril	2015	863
Pepino cohombro	HORTALIZAS	BUCARAMANGA	Abril	2015	588
Pimenton	HORTALIZAS	BUCARAMANGA	Abril	2015	1560
Remolacha	HORTALIZAS	BUCARAMANGA	Abril	2015	836
Tomate	HORTALIZAS	BUCARAMANGA	Abril	2015	1214
Zanahoria	HORTALIZAS	BUCARAMANGA	Abril	2015	657
Aguacate	FRUTALES	BUCARAMANGA	Abril	2015	3747
Banano	FRUTALES	BUCARAMANGA	Abril	2015	1250
Coco	FRUTALES	BUCARAMANGA	Abril	2015	2333
Granadilla	FRUTALES	BUCARAMANGA	Abril	2015	2174
Guayaba pera	FRUTALES	BUCARAMANGA	Abril	2015	1094
Limon tahiti	FRUTALES	BUCARAMANGA	Abril	2015	1356
Lulo	FRUTALES	BUCARAMANGA	Abril	2015	1917
Mandarina	FRUTALES	BUCARAMANGA	Abril	2015	1276
Mango Tommy	FRUTALES	BUCARAMANGA	Abril	2015	2506
Manzana royal gala	FRUTALES	BUCARAMANGA	Abril	2015	3373
Maracuya	FRUTALES	BUCARAMANGA	Abril	2015	1489
Mora de Castilla	FRUTALES	BUCARAMANGA	Abril	2015	3649
Naranja Valencia	FRUTALES	BUCARAMANGA	Abril	2015	626
Papaya maradol	FRUTALES	BUCARAMANGA	Abril	2015	981
Pinha	FRUTALES	BUCARAMANGA	Abril	2015	594
Tomate	HORTALIZAS	BUCARAMANGA	Abril	2015	1876
Arracacha	TUBERCULOS	BUCARAMANGA	Abril	2015	864
Papa negra	TUBERCULOS	BUCARAMANGA	Abril	2015	1336
Papa criolla	TUBERCULOS	BUCARAMANGA	Abril	2015	1623
Platano guineo	TUBERCULOS	BUCARAMANGA	Abril	2015	NA
Platano harton verde	TUBERCULOS	BUCARAMANGA	Abril	2015	1378
Yuca	TUBERCULOS	BUCARAMANGA	Abril	2015	1126
Arroz de primera	GRANOS	BUCARAMANGA	Abril	2015	3289
Arveja verde seca importada	GRANOS	BUCARAMANGA	Abril	2015	1787
Frijol seco	GRANOS	BUCARAMANGA	Abril	2015	5363
Garbanzo importado	GRANOS	BUCARAMANGA	Abril	2015	2850
Lenteja importada	GRANOS	BUCARAMANGA	Abril	2015	2859
Maiz amarillo	GRANOS	BUCARAMANGA	Abril	2015	NA
Ahuyama	HORTALIZAS	CARTAGENA	Abril	2015	624
Arveja verde en vaina	HORTALIZAS	CARTAGENA	Abril	2015	NA
Cebolla cabezona blanca	HORTALIZAS	CARTAGENA	Abril	2015	1175
Cebolla junca	HORTALIZAS	CARTAGENA	Abril	2015	1095
Chocolo mazorca	HORTALIZAS	CARTAGENA	Abril	2015	766
Habichuela	HORTALIZAS	CARTAGENA	Abril	2015	1272
Pepino cohombro	HORTALIZAS	CARTAGENA	Abril	2015	613
Pimenton	HORTALIZAS	CARTAGENA	Abril	2015	1771
Remolacha	HORTALIZAS	CARTAGENA	Abril	2015	827
Tomate	HORTALIZAS	CARTAGENA	Abril	2015	1684
Zanahoria	HORTALIZAS	CARTAGENA	Abril	2015	844
Aguacate	FRUTALES	CARTAGENA	Abril	2015	5229
Banano	FRUTALES	CARTAGENA	Abril	2015	NA
Coco	FRUTALES	CARTAGENA	Abril	2015	2279
Granadilla	FRUTALES	CARTAGENA	Abril	2015	3091
Guayaba pera	FRUTALES	CARTAGENA	Abril	2015	1725
Limon tahiti	FRUTALES	CARTAGENA	Abril	2015	1644
Lulo	FRUTALES	CARTAGENA	Abril	2015	2983
Mandarina	FRUTALES	CARTAGENA	Abril	2015	1917
Mango Tommy	FRUTALES	CARTAGENA	Abril	2015	NA
Manzana royal gala	FRUTALES	CARTAGENA	Abril	2015	3860
Maracuya	FRUTALES	CARTAGENA	Abril	2015	1446
Mora de Castilla	FRUTALES	CARTAGENA	Abril	2015	3998
Naranja Valencia	FRUTALES	CARTAGENA	Abril	2015	820
Papaya maradol	FRUTALES	CARTAGENA	Abril	2015	1227
Pinha	FRUTALES	CARTAGENA	Abril	2015	1163
Tomate	HORTALIZAS	CARTAGENA	Abril	2015	2198
Arracacha	TUBERCULOS	CARTAGENA	Abril	2015	NA
Papa negra	TUBERCULOS	CARTAGENA	Abril	2015	1016
Papa criolla	TUBERCULOS	CARTAGENA	Abril	2015	2173
Platano guineo	TUBERCULOS	CARTAGENA	Abril	2015	NA
Platano harton verde	TUBERCULOS	CARTAGENA	Abril	2015	1093
Yuca	TUBERCULOS	CARTAGENA	Abril	2015	960
Arroz de primera	GRANOS	CARTAGENA	Abril	2015	2981
Arveja verde seca importada	GRANOS	CARTAGENA	Abril	2015	2000
Frijol seco	GRANOS	CARTAGENA	Abril	2015	5685
Garbanzo importado	GRANOS	CARTAGENA	Abril	2015	NA
Lenteja importada	GRANOS	CARTAGENA	Abril	2015	2880
Maiz amarillo	GRANOS	CARTAGENA	Abril	2015	768
Ahuyama	HORTALIZAS	CALI	Abril	2015	600
Arveja verde en vaina	HORTALIZAS	CALI	Abril	2015	2914
Cebolla cabezona blanca	HORTALIZAS	CALI	Abril	2015	1055
Cebolla junca	HORTALIZAS	CALI	Abril	2015	991
Chocolo mazorca	HORTALIZAS	CALI	Abril	2015	758
Habichuela	HORTALIZAS	CALI	Abril	2015	1264
Pepino cohombro	HORTALIZAS	CALI	Abril	2015	597
Pimenton	HORTALIZAS	CALI	Abril	2015	1565
Remolacha	HORTALIZAS	CALI	Abril	2015	782
Tomate	HORTALIZAS	CALI	Abril	2015	1278
Zanahoria	HORTALIZAS	CALI	Abril	2015	830
Aguacate	FRUTALES	CALI	Abril	2015	3692
Banano	FRUTALES	CALI	Abril	2015	679
Coco	FRUTALES	CALI	Abril	2015	1515
Granadilla	FRUTALES	CALI	Abril	2015	1921
Guayaba pera	FRUTALES	CALI	Abril	2015	1277
Limon tahiti	FRUTALES	CALI	Abril	2015	1341
Lulo	FRUTALES	CALI	Abril	2015	1791
Mandarina	FRUTALES	CALI	Abril	2015	2494
Mango Tommy	FRUTALES	CALI	Abril	2015	2290
Manzana royal gala	FRUTALES	CALI	Abril	2015	3523
Maracuya	FRUTALES	CALI	Abril	2015	1488
Mora de Castilla	FRUTALES	CALI	Abril	2015	2864
Naranja Valencia	FRUTALES	CALI	Abril	2015	681
Papaya maradol	FRUTALES	CALI	Abril	2015	1111
Pinha	FRUTALES	CALI	Abril	2015	852
Tomate	HORTALIZAS	CALI	Abril	2015	1855
Arracacha	TUBERCULOS	CALI	Abril	2015	787
Papa negra	TUBERCULOS	CALI	Abril	2015	1002
Papa criolla	TUBERCULOS	CALI	Abril	2015	1031
Platano guineo	TUBERCULOS	CALI	Abril	2015	NA
Platano harton verde	TUBERCULOS	CALI	Abril	2015	1062
Yuca	TUBERCULOS	CALI	Abril	2015	1379
Arroz de primera	GRANOS	CALI	Abril	2015	3005
Arveja verde seca importada	GRANOS	CALI	Abril	2015	2100
Frijol seco	GRANOS	CALI	Abril	2015	4467
Garbanzo importado	GRANOS	CALI	Abril	2015	NA
Lenteja importada	GRANOS	CALI	Abril	2015	3200
Maiz amarillo	GRANOS	CALI	Abril	2015	NA
Ahuyama	HORTALIZAS	CUCUTA	Abril	2015	700
Arveja verde en vaina	HORTALIZAS	CUCUTA	Abril	2015	3500
Cebolla cabezona blanca	HORTALIZAS	CUCUTA	Abril	2015	970
Cebolla junca	HORTALIZAS	CUCUTA	Abril	2015	893
Chocolo mazorca	HORTALIZAS	CUCUTA	Abril	2015	691
Habichuela	HORTALIZAS	CUCUTA	Abril	2015	1066
Pepino cohombro	HORTALIZAS	CUCUTA	Abril	2015	604
Pimenton	HORTALIZAS	CUCUTA	Abril	2015	1448
Remolacha	HORTALIZAS	CUCUTA	Abril	2015	818
Tomate	HORTALIZAS	CUCUTA	Abril	2015	NA
Zanahoria	HORTALIZAS	CUCUTA	Abril	2015	509
Aguacate	FRUTALES	CUCUTA	Abril	2015	NA
Banano	FRUTALES	CUCUTA	Abril	2015	1249
Coco	FRUTALES	CUCUTA	Abril	2015	1462
Granadilla	FRUTALES	CUCUTA	Abril	2015	2416
Guayaba pera	FRUTALES	CUCUTA	Abril	2015	1205
Limon tahiti	FRUTALES	CUCUTA	Abril	2015	NA
Lulo	FRUTALES	CUCUTA	Abril	2015	2730
Mandarina	FRUTALES	CUCUTA	Abril	2015	1600
Mango Tommy	FRUTALES	CUCUTA	Abril	2015	1407
Manzana royal gala	FRUTALES	CUCUTA	Abril	2015	3780
Maracuya	FRUTALES	CUCUTA	Abril	2015	2163
Mora de Castilla	FRUTALES	CUCUTA	Abril	2015	3806
Naranja Valencia	FRUTALES	CUCUTA	Abril	2015	NA
Papaya maradol	FRUTALES	CUCUTA	Abril	2015	901
Pinha	FRUTALES	CUCUTA	Abril	2015	813
Tomate	HORTALIZAS	CUCUTA	Abril	2015	NA
Arracacha	TUBERCULOS	CUCUTA	Abril	2015	867
Papa negra	TUBERCULOS	CUCUTA	Abril	2015	1251
Papa criolla	TUBERCULOS	CUCUTA	Abril	2015	1559
Platano guineo	TUBERCULOS	CUCUTA	Abril	2015	NA
Platano harton verde	TUBERCULOS	CUCUTA	Abril	2015	1295
Yuca	TUBERCULOS	CUCUTA	Abril	2015	1062
Arroz de primera	GRANOS	CUCUTA	Abril	2015	3037
Arveja verde seca importada	GRANOS	CUCUTA	Abril	2015	1907
Frijol seco	GRANOS	CUCUTA	Abril	2015	6833
Garbanzo importado	GRANOS	CUCUTA	Abril	2015	3469
Lenteja importada	GRANOS	CUCUTA	Abril	2015	2984
Maiz amarillo	GRANOS	CUCUTA	Abril	2015	NA
Ahuyama	HORTALIZAS	MEDELLIN	Abril	2015	556
Arveja verde en vaina	HORTALIZAS	MEDELLIN	Abril	2015	3256
Cebolla cabezona blanca	HORTALIZAS	MEDELLIN	Abril	2015	1277
Cebolla junca	HORTALIZAS	MEDELLIN	Abril	2015	848
Chocolo mazorca	HORTALIZAS	MEDELLIN	Abril	2015	821
Habichuela	HORTALIZAS	MEDELLIN	Abril	2015	1090
Pepino cohombro	HORTALIZAS	MEDELLIN	Abril	2015	812
Pimenton	HORTALIZAS	MEDELLIN	Abril	2015	1509
Remolacha	HORTALIZAS	MEDELLIN	Abril	2015	534
Tomate	HORTALIZAS	MEDELLIN	Abril	2015	1325
Zanahoria	HORTALIZAS	MEDELLIN	Abril	2015	412
Aguacate	FRUTALES	MEDELLIN	Abril	2015	2085
Banano	FRUTALES	MEDELLIN	Abril	2015	657
Coco	FRUTALES	MEDELLIN	Abril	2015	2881
Granadilla	FRUTALES	MEDELLIN	Abril	2015	2328
Guayaba pera	FRUTALES	MEDELLIN	Abril	2015	1016
Limon tahiti	FRUTALES	MEDELLIN	Abril	2015	1728
Lulo	FRUTALES	MEDELLIN	Abril	2015	1616
Mandarina	FRUTALES	MEDELLIN	Abril	2015	2438
Mango Tommy	FRUTALES	MEDELLIN	Abril	2015	2033
Manzana royal gala	FRUTALES	MEDELLIN	Abril	2015	3253
Maracuya	FRUTALES	MEDELLIN	Abril	2015	1313
Mora de Castilla	FRUTALES	MEDELLIN	Abril	2015	2727
Naranja Valencia	FRUTALES	MEDELLIN	Abril	2015	1101
Papaya maradol	FRUTALES	MEDELLIN	Abril	2015	1482
Pinha	FRUTALES	MEDELLIN	Abril	2015	800
Tomate	HORTALIZAS	MEDELLIN	Abril	2015	1726
Arracacha	TUBERCULOS	MEDELLIN	Abril	2015	1027
Papa negra	TUBERCULOS	MEDELLIN	Abril	2015	2399
Papa criolla	TUBERCULOS	MEDELLIN	Abril	2015	1849
Platano guineo	TUBERCULOS	MEDELLIN	Abril	2015	917
Platano harton verde	TUBERCULOS	MEDELLIN	Abril	2015	1381
Yuca	TUBERCULOS	MEDELLIN	Abril	2015	1631
Arroz de primera	GRANOS	MEDELLIN	Abril	2015	3052
Arveja verde seca importada	GRANOS	MEDELLIN	Abril	2015	2330
Frijol seco	GRANOS	MEDELLIN	Abril	2015	6840
Garbanzo importado	GRANOS	MEDELLIN	Abril	2015	2884
Lenteja importada	GRANOS	MEDELLIN	Abril	2015	3048
Maiz amarillo	GRANOS	MEDELLIN	Abril	2015	999
Ahuyama	HORTALIZAS	PEREIRA	Abril	2015	631
Arveja verde en vaina	HORTALIZAS	PEREIRA	Abril	2015	2957
Cebolla cabezona blanca	HORTALIZAS	PEREIRA	Abril	2015	1002
Cebolla junca	HORTALIZAS	PEREIRA	Abril	2015	436
Chocolo mazorca	HORTALIZAS	PEREIRA	Abril	2015	NA
Habichuela	HORTALIZAS	PEREIRA	Abril	2015	820
Pepino cohombro	HORTALIZAS	PEREIRA	Abril	2015	763
Pimenton	HORTALIZAS	PEREIRA	Abril	2015	1700
Remolacha	HORTALIZAS	PEREIRA	Abril	2015	NA
Tomate	HORTALIZAS	PEREIRA	Abril	2015	1264
Zanahoria	HORTALIZAS	PEREIRA	Abril	2015	753
Aguacate	FRUTALES	PEREIRA	Abril	2015	2625
Banano	FRUTALES	PEREIRA	Abril	2015	675
Coco	FRUTALES	PEREIRA	Abril	2015	1700
Granadilla	FRUTALES	PEREIRA	Abril	2015	2183
Guayaba pera	FRUTALES	PEREIRA	Abril	2015	988
Limon tahiti	FRUTALES	PEREIRA	Abril	2015	1201
Lulo	FRUTALES	PEREIRA	Abril	2015	1669
Mandarina	FRUTALES	PEREIRA	Abril	2015	1753
Mango Tommy	FRUTALES	PEREIRA	Abril	2015	1406
Manzana royal gala	FRUTALES	PEREIRA	Abril	2015	3636
Maracuya	FRUTALES	PEREIRA	Abril	2015	1353
Mora de Castilla	FRUTALES	PEREIRA	Abril	2015	2663
Naranja Valencia	FRUTALES	PEREIRA	Abril	2015	727
Papaya maradol	FRUTALES	PEREIRA	Abril	2015	1136
Pinha	FRUTALES	PEREIRA	Abril	2015	1104
Tomate	HORTALIZAS	PEREIRA	Abril	2015	2128
Arracacha	TUBERCULOS	PEREIRA	Abril	2015	1134
Papa negra	TUBERCULOS	PEREIRA	Abril	2015	960
Papa criolla	TUBERCULOS	PEREIRA	Abril	2015	1668
Platano guineo	TUBERCULOS	PEREIRA	Abril	2015	631
Platano harton verde	TUBERCULOS	PEREIRA	Abril	2015	896
Yuca	TUBERCULOS	PEREIRA	Abril	2015	1242
Arroz de primera	GRANOS	PEREIRA	Abril	2015	3171
Arveja verde seca importada	GRANOS	PEREIRA	Abril	2015	1816
Frijol seco	GRANOS	PEREIRA	Abril	2015	7288
Garbanzo importado	GRANOS	PEREIRA	Abril	2015	2812
Lenteja importada	GRANOS	PEREIRA	Abril	2015	2809
Maiz amarillo	GRANOS	PEREIRA	Abril	2015	1243
Ahuyama	HORTALIZAS	BARRANQUILLA	ABRIL	2016	840
Arveja verde en vaina	HORTALIZAS	BARRANQUILLA	ABRIL	2016	7127
Cebolla cabezona blanca	HORTALIZAS	BARRANQUILLA	ABRIL	2016	2423
Cebolla junca	HORTALIZAS	BARRANQUILLA	ABRIL	2016	1226
Chocolo mazorca	HORTALIZAS	BARRANQUILLA	ABRIL	2016	1033
Habichuela	HORTALIZAS	BARRANQUILLA	ABRIL	2016	2107
Lechuga Batavia	HORTALIZAS	BARRANQUILLA	ABRIL	2016	3563
Pepino cohombro	HORTALIZAS	BARRANQUILLA	ABRIL	2016	887
Pimenton	HORTALIZAS	BARRANQUILLA	ABRIL	2016	2051
Remolacha	HORTALIZAS	BARRANQUILLA	ABRIL	2016	1409
Tomate	HORTALIZAS	BARRANQUILLA	ABRIL	2016	1327
Zanahoria	HORTALIZAS	BARRANQUILLA	ABRIL	2016	1153
Aguacate	FRUTALES	BARRANQUILLA	ABRIL	2016	6283
Banano	FRUTALES	BARRANQUILLA	ABRIL	2016	538
Coco	FRUTALES	BARRANQUILLA	ABRIL	2016	2198
Granadilla	FRUTALES	BARRANQUILLA	ABRIL	2016	4825
Guayaba pera	FRUTALES	BARRANQUILLA	ABRIL	2016	2422
Limon tahiti	FRUTALES	BARRANQUILLA	ABRIL	2016	NA
Lulo	FRUTALES	BARRANQUILLA	ABRIL	2016	4847
Mandarina	FRUTALES	BARRANQUILLA	ABRIL	2016	2582
Mango Tommy	FRUTALES	BARRANQUILLA	ABRIL	2016	2489
Manzana verde importada	FRUTALES	BARRANQUILLA	ABRIL	2016	5372
Maracuya	FRUTALES	BARRANQUILLA	ABRIL	2016	3074
Mora de Castilla	FRUTALES	BARRANQUILLA	ABRIL	2016	5743
Naranja Valencia	FRUTALES	BARRANQUILLA	ABRIL	2016	1163
Papaya maradol	FRUTALES	BARRANQUILLA	ABRIL	2016	2245
Pinha	FRUTALES	BARRANQUILLA	ABRIL	2016	1025
Tomate	HORTALIZAS	BARRANQUILLA	ABRIL	2016	1950
Uva red globe nacional	FRUTALES	BARRANQUILLA	ABRIL	2016	4000
Arracacha	TUBERCULOS	BARRANQUILLA	ABRIL	2016	NA
Papa negra	TUBERCULOS	BARRANQUILLA	ABRIL	2016	1368
Papa criolla	TUBERCULOS	BARRANQUILLA	ABRIL	2016	3365
Platano harton verde	TUBERCULOS	BARRANQUILLA	ABRIL	2016	1279
Yuca	TUBERCULOS	BARRANQUILLA	ABRIL	2016	860
Arroz de primera	GRANOS	BARRANQUILLA	ABRIL	2016	3116
Arveja verde seca importada	GRANOS	BARRANQUILLA	ABRIL	2016	1994
Frijol seco	GRANOS	BARRANQUILLA	ABRIL	2016	4556
Garbanzo importado	GRANOS	BARRANQUILLA	ABRIL	2016	NA
Lenteja importada	GRANOS	BARRANQUILLA	ABRIL	2016	5256
Maiz amarillo	GRANOS	BARRANQUILLA	ABRIL	2016	1548
Ahuyama	HORTALIZAS	BOGOTA	ABRIL	2016	1154
Arveja verde en vaina	HORTALIZAS	BOGOTA	ABRIL	2016	8220
Cebolla cabezona blanca	HORTALIZAS	BOGOTA	ABRIL	2016	2228
Cebolla junca	HORTALIZAS	BOGOTA	ABRIL	2016	1709
Chocolo mazorca	HORTALIZAS	BOGOTA	ABRIL	2016	2310
Habichuela	HORTALIZAS	BOGOTA	ABRIL	2016	2845
Lechuga Batavia	HORTALIZAS	BOGOTA	ABRIL	2016	2630
Pepino cohombro	HORTALIZAS	BOGOTA	ABRIL	2016	1674
Pimenton	HORTALIZAS	BOGOTA	ABRIL	2016	2493
Remolacha	HORTALIZAS	BOGOTA	ABRIL	2016	1290
Tomate	HORTALIZAS	BOGOTA	ABRIL	2016	1591
Zanahoria	HORTALIZAS	BOGOTA	ABRIL	2016	1173
Aguacate	FRUTALES	BOGOTA	ABRIL	2016	4925
Banano	FRUTALES	BOGOTA	ABRIL	2016	1597
Coco	FRUTALES	BOGOTA	ABRIL	2016	3302
Granadilla	FRUTALES	BOGOTA	ABRIL	2016	2476
Guayaba pera	FRUTALES	BOGOTA	ABRIL	2016	3004
Limon tahiti	FRUTALES	BOGOTA	ABRIL	2016	3304
Lulo	FRUTALES	BOGOTA	ABRIL	2016	3577
Mandarina	FRUTALES	BOGOTA	ABRIL	2016	2783
Mango Tommy	FRUTALES	BOGOTA	ABRIL	2016	2838
Manzana verde importada	FRUTALES	BOGOTA	ABRIL	2016	4209
Maracuya	FRUTALES	BOGOTA	ABRIL	2016	3162
Mora de Castilla	FRUTALES	BOGOTA	ABRIL	2016	5215
Naranja Valencia	FRUTALES	BOGOTA	ABRIL	2016	1336
Papaya maradol	FRUTALES	BOGOTA	ABRIL	2016	1131
Pinha	FRUTALES	BOGOTA	ABRIL	2016	784
Tomate	HORTALIZAS	BOGOTA	ABRIL	2016	1836
Uva red globe nacional	FRUTALES	BOGOTA	ABRIL	2016	4037
Arracacha	TUBERCULOS	BOGOTA	ABRIL	2016	4067
Papa negra	TUBERCULOS	BOGOTA	ABRIL	2016	1714
Papa criolla	TUBERCULOS	BOGOTA	ABRIL	2016	4494
Platano harton verde	TUBERCULOS	BOGOTA	ABRIL	2016	1806
Yuca	TUBERCULOS	BOGOTA	ABRIL	2016	1511
Arroz de primera	GRANOS	BOGOTA	ABRIL	2016	3160
Arveja verde seca importada	GRANOS	BOGOTA	ABRIL	2016	2244
Frijol seco	GRANOS	BOGOTA	ABRIL	2016	7690
Garbanzo importado	GRANOS	BOGOTA	ABRIL	2016	5633
Lenteja importada	GRANOS	BOGOTA	ABRIL	2016	5266
Maiz amarillo	GRANOS	BOGOTA	ABRIL	2016	989
Ahuyama	HORTALIZAS	BUCARAMANGA	ABRIL	2016	729
Arveja verde en vaina	HORTALIZAS	BUCARAMANGA	ABRIL	2016	6661
Cebolla cabezona blanca	HORTALIZAS	BUCARAMANGA	ABRIL	2016	2251
Cebolla junca	HORTALIZAS	BUCARAMANGA	ABRIL	2016	1097
Chocolo mazorca	HORTALIZAS	BUCARAMANGA	ABRIL	2016	1391
Habichuela	HORTALIZAS	BUCARAMANGA	ABRIL	2016	1629
Lechuga Batavia	HORTALIZAS	BUCARAMANGA	ABRIL	2016	1939
Pepino cohombro	HORTALIZAS	BUCARAMANGA	ABRIL	2016	582
Pimenton	HORTALIZAS	BUCARAMANGA	ABRIL	2016	3073
Remolacha	HORTALIZAS	BUCARAMANGA	ABRIL	2016	1436
Tomate	HORTALIZAS	BUCARAMANGA	ABRIL	2016	1290
Zanahoria	HORTALIZAS	BUCARAMANGA	ABRIL	2016	1004
Aguacate	FRUTALES	BUCARAMANGA	ABRIL	2016	5284
Banano	FRUTALES	BUCARAMANGA	ABRIL	2016	1410
Coco	FRUTALES	BUCARAMANGA	ABRIL	2016	3667
Granadilla	FRUTALES	BUCARAMANGA	ABRIL	2016	2617
Guayaba pera	FRUTALES	BUCARAMANGA	ABRIL	2016	2568
Limon tahiti	FRUTALES	BUCARAMANGA	ABRIL	2016	2164
Lulo	FRUTALES	BUCARAMANGA	ABRIL	2016	3953
Mandarina	FRUTALES	BUCARAMANGA	ABRIL	2016	1783
Mango Tommy	FRUTALES	BUCARAMANGA	ABRIL	2016	2162
Manzana verde importada	FRUTALES	BUCARAMANGA	ABRIL	2016	3885
Maracuya	FRUTALES	BUCARAMANGA	ABRIL	2016	2694
Mora de Castilla	FRUTALES	BUCARAMANGA	ABRIL	2016	5169
Naranja Valencia	FRUTALES	BUCARAMANGA	ABRIL	2016	730
Papaya maradol	FRUTALES	BUCARAMANGA	ABRIL	2016	1221
